BCR,CD40,IL21_4,STAT,Syk,PI3K,BTK,CBM,TRAF6,NEMO_IKK,RelA_p50,IRF4,RAF,Erk,BCL6,Blimp1,cMyc,AID,BCL2,ID
1,1,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,1,23
0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,24
0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,24
0,1,0,0,0,0,0,1,1,2,2,2,1,1,0,0,0,0,1,24
0,1,1,1,0,0,0,1,1,2,2,2,1,0,0,1,0,0,1,24
1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,24
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,24
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,24
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,24
1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,25
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,25
1,1,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,0,25
1,1,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,0,25
0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,26
0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,26
0,1,0,1,0,0,0,0,1,2,2,2,0,0,0,1,0,0,1,26
0,1,1,1,0,0,0,0,1,2,2,2,0,0,0,1,0,0,1,26
1,0,0,1,1,0,1,1,0,1,2,2,1,0,0,1,0,0,1,26
1,0,1,1,1,0,1,1,0,1,2,2,1,0,0,1,0,0,1,26
1,1,0,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,26
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,26
1,0,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,0,27
1,0,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,0,27
1,1,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,0,27
1,1,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,0,27
0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,28
0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,28
0,1,0,1,0,0,0,1,1,2,2,2,1,0,0,0,0,1,1,28
0,1,1,1,0,0,0,1,1,2,2,2,1,0,0,0,0,1,1,28
1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,28
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,28
1,1,0,1,1,0,1,1,1,2,2,2,1,0,0,0,0,1,1,28
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,0,0,1,1,28
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,29
0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,29
0,1,0,0,0,0,0,0,1,2,2,2,1,1,1,0,0,0,1,29
0,1,1,1,0,0,0,0,1,2,2,2,1,0,1,0,0,1,1,29
1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,29
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,29
1,1,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,1,29
1,1,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,1,29
0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,1,30
0,0,1,1,0,0,0,0,1,2,2,2,0,0,0,1,0,0,1,30
0,1,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,1,30
0,1,1,1,0,0,0,0,1,2,2,2,0,0,0,1,0,0,1,30
1,0,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,30
1,0,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,30
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,30
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,30
0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,31
0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,31
0,1,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,1,31
0,1,1,1,0,0,0,1,1,2,2,2,0,0,0,1,0,0,1,31
1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,31
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,31
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,31
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,31
0,0,0,0,0,0,0,1,0,1,2,2,0,0,1,0,0,0,1,32
0,0,1,1,0,0,0,1,0,1,2,2,0,0,1,0,0,1,1,32
0,1,0,0,0,0,0,1,1,2,2,2,0,0,1,0,0,0,1,32
0,1,1,1,0,0,0,1,1,2,2,2,0,0,1,0,0,1,1,32
1,0,0,0,1,0,1,1,0,1,2,2,1,1,1,0,0,0,1,32
1,0,1,1,1,0,1,1,0,1,2,2,1,0,1,0,0,1,1,32
1,1,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,1,32
1,1,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,1,32
0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,33
0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,1,1,0,1,33
0,1,0,0,0,0,0,0,1,2,2,2,0,0,0,0,1,0,1,33
0,1,1,1,0,0,0,0,1,2,2,2,0,0,0,1,1,0,1,33
1,0,0,0,1,0,1,1,0,1,2,2,1,1,0,0,1,0,1,33
1,0,1,1,1,0,1,1,0,1,2,2,1,0,0,1,1,0,1,33
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,1,0,1,33
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,1,0,1,33
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,34
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,34
0,1,0,0,0,0,0,0,1,2,2,2,0,0,1,0,0,0,1,34
0,1,1,1,0,0,0,0,1,2,2,2,0,0,1,0,0,1,1,34
1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,34
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,34
1,1,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,1,34
1,1,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,1,34
0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,35
0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,35
0,1,0,0,0,0,0,1,1,2,2,2,1,1,1,0,0,0,1,35
0,1,1,1,0,0,0,1,1,2,2,2,1,1,1,0,0,1,1,35
1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,35
1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,35
